"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38","Test B","chromium","2025-10-26","passed","2025-10-26","","MULTI_TEST.spec.js","",""
"","459","Should be able to create a new post","chromium","2025-10-26","passed","2025-10-26","","POST_METHOD_JSON_DATA.spec.js","",""
"","452","","chromium","2025-10-26","passed","2025-10-26","","DELETE_METHOD.spec.js","",""
"","38","Test A","chromium","2025-10-26","passed","2025-10-26","","MULTI_TEST.spec.js","",""
"","1062","Should be able to perfrom CRUD on post type","chromium","2025-10-26","passed","2025-10-26","","CHAINING_REQ.spec.js","",""
"","28","Test C","chromium","2025-10-26","passed","2025-10-26","","MULTI_TEST.spec.js","",""
"","311","Should be able to send a GET method","chromium","2025-10-26","failed","2025-10-26","","GET_METHOD.spec.js","",""
"","578","Should be able to creat a new post","chromium","2025-10-26","passed","2025-10-26","","POST_METHOD.spec.js","",""
"","470","Should be send a PUT method","chromium","2025-10-26","passed","2025-10-26","","PUT_METHOD.spec.js","",""
"","731","Should be able to create multi post","chromium","2025-10-26","passed","2025-10-26","","POST_METHOD_JSON_DATA.spec.js","",""
